"ICD-10-AM Code","ICD-10-AM Code Descriptor","ICD-10 Map","Field4"
"V40.98","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, other specified car [automobile] ","V40.9",
"V40.99","Car occupant injured in collision with pedestrian or animal, unspecified car occupant, traffic accident, unspecified car [automobile] ","V40.9",
"V41.00","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, sedan ","V41.0",
"V41.01","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, all-terrain four-wheel drive ","V41.0",
"V41.02","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, four-wheeled motorcycle","V41.0",
"V41.03","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, passenger van ","V41.0",
"V41.08","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, other specified car [automobile] ","V41.0",
"V41.09","Car occupant injured in collision with pedal cycle, driver, nontraffic accident, unspecified car [automobile] ","V41.0",
"V41.10","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, sedan","V41.1",
"V41.11","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, all-terrain four-wheel drive ","V41.1",
"V41.12","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, four-wheeled motorcycle","V41.1",
"V41.13","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, passenger van","V41.1",
"V41.18","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, other specified car [automobile]","V41.1",
"V41.19","Car occupant injured in collision with pedal cycle, passenger, nontraffic accident, unspecified car [automobile] ","V41.1",
"V41.20","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, sedan","V41.2",
"V41.21","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive","V41.2",
"V41.22","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle","V41.2",
"V41.23","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, passenger van","V41.2",
"V41.28","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, other specified car [automobile]","V41.2",
"V41.29","Car occupant injured in collision with pedal cycle, person on outside of vehicle, nontraffic accident, unspecified car [automobile]","V41.2",
"V41.30","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, sedan ","V41.3",
"V41.31","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive ","V41.3",
"V41.32","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, four-wheeled motorcycle","V41.3",
"V41.33","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, passenger van","V41.3",
"V41.38","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, other specified car [automobile] ","V41.3",
"V41.39","Car occupant injured in collision with pedal cycle, unspecified car occupant, nontraffic accident, unspecified car [automobile] ","V41.3",
"V41.40","Car occupant injured in collision with pedal cycle, while boarding or alighting, sedan","V41.4",
"V41.41","Car occupant injured in collision with pedal cycle, while boarding or alighting, all-terrain four-wheel drive","V41.4",
"V41.42","Car occupant injured in collision with pedal cycle, while boarding or alighting, four-wheeled motorcycle","V41.4",
"V41.43","Car occupant injured in collision with pedal cycle, while boarding or alighting, passenger van","V41.4",
"V41.48","Car occupant injured in collision with pedal cycle, while boarding or alighting, other specified car [automobile]","V41.4",
"V41.49","Car occupant injured in collision with pedal cycle, while boarding or alighting, unspecified car [automobile]","V41.4",
"V41.50","Car occupant injured in collision with pedal cycle, driver, traffic accident, sedan","V41.5",
"V41.51","Car occupant injured in collision with pedal cycle, driver, traffic accident, all-terrain four-wheel drive","V41.5",
"V41.52","Car occupant injured in collision with pedal cycle, driver, traffic accident, four-wheeled motorcycle","V41.5",
"V41.53","Car occupant injured in collision with pedal cycle, driver, traffic accident, passenger van","V41.5",
"V41.58","Car occupant injured in collision with pedal cycle, driver, traffic accident, other specified car [automobile","V41.5",
"V41.59","Car occupant injured in collision with pedal cycle, driver, traffic accident, unspecified car [automobile]","V41.5",
"V41.60","Car occupant injured in collision with pedal cycle, passenger, traffic accident, sedan","V41.6",
"V41.61","Car occupant injured in collision with pedal cycle, passenger, traffic accident, all-terrain four-wheel drive","V41.6",
"V41.62","Car occupant injured in collision with pedal cycle, passenger, traffic accident, four-wheeled motorcycle","V41.6",
"V41.63","Car occupant injured in collision with pedal cycle, passenger, traffic accident, passenger van","V41.6",
"V41.68","Car occupant injured in collision with pedal cycle, passenger, traffic accident, other specified car [automobile]","V41.6",
"V41.69","Car occupant injured in collision with pedal cycle, passenger, traffic accident, unspecified car [automobile]","V41.6",
"V41.70","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, sedan","V41.7",
"V41.71","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, all-terrain four-wheel drive","V41.7",
"V41.72","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, four-wheeled motorcycle","V41.7",
"V41.73","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, passenger van","V41.7",
"V41.78","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, other specified car [automobile]","V41.7",
"V41.79","Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, unspecified car [automobile]","V41.7",
"V41.90","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, sedan","V41.9",
"V41.91","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, all-terrain four-wheel drive","V41.9",
"V41.92","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, four-wheeled motorcycle","V41.9",
"V41.93","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, passenger van","V41.9",
"V41.98","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, other specified car [automobile]","V41.9",
"V41.99","Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, unspecified car [automobile]","V41.9",
"V42.00","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, sedan","V42.0",
"V42.01","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, all-terrain four-wheel drive","V42.0",
"V42.02","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, four-wheeled motorcycle","V42.0",
"V42.03","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, passenger van","V42.0",
"V42.08","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, other specified car [automobile]","V42.0",
"V42.09","Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, unspecified car [automobile]","V42.0",
"V42.10","Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, sedan","V42.1",
"V42.11","Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, all-terrain four-wheel drive","V42.1",
"V42.12","Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, four-wheeled motorcycle","V42.1",
"V42.13","Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, passenger van","V42.1",
"V42.18","Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, other specified car [automobile]","V42.1",
